Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,NomineeIds,Winner
1,1927/28,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0051251,The Noose,tt0019217,Richard Barthelmess,nm0001932,FALSE
1,1927/28,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0051252,The Patent Leather Kid,tt0018253,Richard Barthelmess,nm0001932,FALSE
1,1927/28,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0051250a,The Last Command,tt0019071,Emil Jannings,nm0417837,TRUE
1,1927/28,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0051250b,The Way of All Flesh,tt0019553,Emil Jannings,nm0417837,TRUE
1,1927/28,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0051255,A Ship Comes In,tt0018389,Louise Dresser,nm0237571,FALSE
1,1927/28,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0051254a,7th Heaven,tt0018379,Janet Gaynor,nm0310980,TRUE
1,1927/28,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0051254b,Street Angel,tt0019429,Janet Gaynor,nm0310980,TRUE
1,1927/28,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0051254c,Sunrise,tt0018455,Janet Gaynor,nm0310980,TRUE
1,1927/28,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0051256,Sadie Thompson,tt0019344,Gloria Swanson,nm0841797,FALSE
1,1927/28,Production,ART DIRECTION,ART DIRECTION,an0051282,Sunrise,tt0018455,Rochus Gliese,nm0322843,FALSE
1,1927/28,Production,ART DIRECTION,ART DIRECTION,an0051279,The Dove,tt0017822,William Cameron Menzies,nm0580017,TRUE
1,1927/28,Production,ART DIRECTION,ART DIRECTION,an0051280,Tempest,tt0019451,William Cameron Menzies,nm0580017,TRUE
1,1927/28,Production,ART DIRECTION,ART DIRECTION,an0051281,7th Heaven,tt0018379,Harry Oliver,nm0646856,FALSE
1,1927/28,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0051273,The Devil Dancer,tt0017806,George Barnes,nm0055604,FALSE
1,1927/28,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0051275,The Magic Flame,tt0018129,George Barnes,nm0055604,FALSE
1,1927/28,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0051277,Sadie Thompson,tt0019344,George Barnes,nm0055604,FALSE
1,1927/28,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0051272,Sunrise,tt0018455,"Charles Rosher, Karl Struss","nm0003546,nm0835365",TRUE
